,orig.ident,nCount_RNA,nFeature_RNA,cell_type,plate,batch,tech,celltype
pDC_P7_S17,pDC,24049.4588902397,8018,pDC,P7,batch1,batch1,pDC
pDC_P7_S18,pDC,19343.1133885913,5636,pDC,P7,batch1,batch1,pDC
pDC_P7_S19,pDC,20442.2436740218,6412,pDC,P7,batch1,batch1,pDC
pDC_P7_S1,pDC,18776.4240441013,5338,pDC,P7,batch1,batch1,pDC
pDC_P7_S20,pDC,18766.2205032408,6547,pDC,P7,batch1,batch1,pDC
pDC_P7_S21,pDC,20330.5541339914,6883,pDC,P7,batch1,batch1,pDC
pDC_P7_S22,pDC,19636.7154986324,6329,pDC,P7,batch1,batch1,pDC
pDC_P7_S23,pDC,18354.3985983292,6112,pDC,P7,batch1,batch1,pDC
pDC_P7_S24,pDC,19591.3328795883,6967,pDC,P7,batch1,batch1,pDC
pDC_P7_S2,pDC,20238.4224000892,6372,pDC,P7,batch1,batch1,pDC
pDC_P7_S3,pDC,19791.7447453461,6530,pDC,P7,batch1,batch1,pDC
pDC_P7_S4,pDC,19281.5286336524,6870,pDC,P7,batch1,batch1,pDC
pDC_P7_S5,pDC,24065.1875174849,8345,pDC,P7,batch1,batch1,pDC
pDC_P7_S6,pDC,20252.5221514315,6664,pDC,P7,batch1,batch1,pDC
pDC_P7_S7,pDC,20065.2806286879,6058,pDC,P7,batch1,batch1,pDC
pDC_P7_S8,pDC,18690.7897984769,6723,pDC,P7,batch1,batch1,pDC
pDC_P7_S9,pDC,18332.4413719931,7152,pDC,P7,batch1,batch1,pDC
pDC_P8_S25,pDC,19488.8092795238,6481,pDC,P8,batch1,batch1,pDC
pDC_P8_S26,pDC,19442.9429698434,6074,pDC,P8,batch1,batch1,pDC
pDC_P8_S27,pDC,18248.1534098852,5831,pDC,P8,batch1,batch1,pDC
pDC_P8_S28,pDC,18785.1503463129,6130,pDC,P8,batch1,batch1,pDC
pDC_P8_S30,pDC,17526.5556336647,5450,pDC,P8,batch1,batch1,pDC
pDC_P8_S31,pDC,17406.7496607806,6110,pDC,P8,batch1,batch1,pDC
pDC_P8_S32,pDC,19482.9042680982,5668,pDC,P8,batch1,batch1,pDC
pDC_P8_S33,pDC,17892.1730111302,4588,pDC,P8,batch1,batch1,pDC
pDC_P8_S34,pDC,17674.8036846798,5498,pDC,P8,batch1,batch1,pDC
pDC_P8_S35,pDC,17825.1773535317,5196,pDC,P8,batch1,batch1,pDC
pDC_P8_S36,pDC,17761.3676686313,4620,pDC,P8,batch1,batch1,pDC
pDC_P8_S37,pDC,20193.8703464235,5675,pDC,P8,batch1,batch1,pDC
pDC_P8_S38,pDC,20358.9283877568,5602,pDC,P8,batch1,batch1,pDC
pDC_P8_S39,pDC,18213.9875379366,5288,pDC,P8,batch1,batch1,pDC
pDC_P8_S40,pDC,17803.6115276826,5563,pDC,P8,batch1,batch1,pDC
pDC_P8_S42,pDC,18812.9251359542,5566,pDC,P8,batch1,batch1,pDC
pDC_P8_S43,pDC,3138.09715321869,1456,pDC,P8,batch1,batch1,pDC
pDC_P8_S44,pDC,18211.298259802,4500,pDC,P8,batch1,batch1,pDC
pDC_P8_S45,pDC,16420.3990663653,3892,pDC,P8,batch1,batch1,pDC
pDC_P8_S46,pDC,18692.2497017151,5100,pDC,P8,batch1,batch1,pDC
pDC_P8_S47,pDC,18239.8552775596,4659,pDC,P8,batch1,batch1,pDC
pDC_P8_S48,pDC,17879.2313047609,4825,pDC,P8,batch1,batch1,pDC
pDC_P9_S49,pDC,17442.4498999145,6506,pDC,P9,batch1,batch1,pDC
pDC_P9_S50,pDC,17909.0292675078,6611,pDC,P9,batch1,batch1,pDC
pDC_P9_S51,pDC,17696.3647775654,6026,pDC,P9,batch1,batch1,pDC
pDC_P9_S52,pDC,16335.370088418,6286,pDC,P9,batch1,batch1,pDC
pDC_P9_S53,pDC,13438.9765387435,5486,pDC,P9,batch1,batch1,pDC
pDC_P9_S54,pDC,16290.6728572413,5882,pDC,P9,batch1,batch1,pDC
pDC_P9_S55,pDC,15176.6399467911,5293,pDC,P9,batch1,batch1,pDC
pDC_P9_S56,pDC,15588.915517836,5133,pDC,P9,batch1,batch1,pDC
pDC_P9_S57,pDC,17176.1170639271,5556,pDC,P9,batch1,batch1,pDC
pDC_P9_S58,pDC,16731.8932835151,5304,pDC,P9,batch1,batch1,pDC
pDC_P9_S59,pDC,16448.3020810134,6290,pDC,P9,batch1,batch1,pDC
pDC_P9_S60,pDC,16130.4312314834,5912,pDC,P9,batch1,batch1,pDC
pDC_P9_S61,pDC,17308.5209380296,6429,pDC,P9,batch1,batch1,pDC
pDC_P9_S62,pDC,12336.6597956265,4361,pDC,P9,batch1,batch1,pDC
pDC_P9_S63,pDC,17623.8200444003,6248,pDC,P9,batch1,batch1,pDC
pDC_P9_S64,pDC,15773.3236081621,4988,pDC,P9,batch1,batch1,pDC
pDC_P9_S65,pDC,17411.3520865658,6291,pDC,P9,batch1,batch1,pDC
pDC_P9_S66,pDC,17345.5310066911,5913,pDC,P9,batch1,batch1,pDC
pDC_P9_S67,pDC,17855.1226421327,5943,pDC,P9,batch1,batch1,pDC
pDC_P9_S68,pDC,17096.5824609279,5820,pDC,P9,batch1,batch1,pDC
pDC_P9_S69,pDC,17558.5220437212,5645,pDC,P9,batch1,batch1,pDC
pDC_P9_S70,pDC,14735.8920647447,5215,pDC,P9,batch1,batch1,pDC
pDC_P9_S71,pDC,17689.3462628456,5476,pDC,P9,batch1,batch1,pDC
pDC_P9_S72,pDC,16990.5608373107,5944,pDC,P9,batch1,batch1,pDC
DoubleNeg_P10_S73,DoubleNeg,15728.8141484695,6040,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S74,DoubleNeg,17390.4857879947,6309,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S75,DoubleNeg,15456.530925093,6332,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S76,DoubleNeg,15345.6046621067,6137,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S77,DoubleNeg,17090.5582853907,6684,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S78,DoubleNeg,15951.2059833979,5469,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S79,DoubleNeg,11263.5606419047,5781,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S80,DoubleNeg,17685.041478459,6877,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S81,DoubleNeg,18308.6646419515,6658,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S82,DoubleNeg,16634.1345610144,6776,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S83,DoubleNeg,17479.0643766277,6581,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S84,DoubleNeg,16527.005722202,7013,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S85,DoubleNeg,15207.0516086397,5297,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S86,DoubleNeg,16488.8989908456,6014,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S87,DoubleNeg,17184.9558962717,6399,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S88,DoubleNeg,16217.432578584,6125,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S89,DoubleNeg,17030.2241183229,5887,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S90,DoubleNeg,6699.36311063978,4457,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S91,DoubleNeg,14942.8773459781,4880,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S92,DoubleNeg,9016.50568096743,5136,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S93,DoubleNeg,17268.2852060347,6150,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S94,DoubleNeg,15296.6724946575,6342,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S95,DoubleNeg,16225.8781933657,5921,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P10_S96,DoubleNeg,14226.3509878889,5490,DoubleNeg,P10,batch1,batch1,DoubleNeg
DoubleNeg_P13_S49,DoubleNeg,13667.3511902158,4648,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S50,DoubleNeg,15250.3590802293,4767,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S51,DoubleNeg,16696.1346067376,5227,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S52,DoubleNeg,15304.5930017337,4861,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S53,DoubleNeg,15772.6360479253,5118,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S54,DoubleNeg,14530.2529019135,3882,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S55,DoubleNeg,11980.5036162285,4232,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S56,DoubleNeg,15067.1181937594,4823,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S57,DoubleNeg,16225.0819841051,5064,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S58,DoubleNeg,15902.480375244,5109,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S59,DoubleNeg,16133.8018341396,4921,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S60,DoubleNeg,14883.4701710309,5127,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S61,DoubleNeg,12314.296573845,4613,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S62,DoubleNeg,10751.226556719,3947,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S63,DoubleNeg,13526.8377584464,4432,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S64,DoubleNeg,11899.2847247696,3109,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S65,DoubleNeg,14839.6302201749,4877,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S66,DoubleNeg,13293.1878798646,3473,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S67,DoubleNeg,14903.4125000221,4362,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S68,DoubleNeg,14405.0120653952,4248,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S69,DoubleNeg,14741.0658136106,4775,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S70,DoubleNeg,15954.2649296127,4801,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S71,DoubleNeg,15385.9642187913,4916,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P13_S72,DoubleNeg,15389.763876649,4985,DoubleNeg,P13,batch2,batch2,DoubleNeg
DoubleNeg_P14_S73,DoubleNeg,14699.2608992887,3656,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S74,DoubleNeg,15084.895391431,4137,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S75,DoubleNeg,14071.5784076451,3824,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S76,DoubleNeg,14367.8895781682,3892,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S77,DoubleNeg,15622.8918304611,4403,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S78,DoubleNeg,14996.224593577,4181,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S79,DoubleNeg,15202.665461266,4465,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S80,DoubleNeg,14230.7890942408,3726,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S81,DoubleNeg,15141.8455249514,4055,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S82,DoubleNeg,13422.9463569397,3328,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S83,DoubleNeg,16086.1569802709,4390,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S84,DoubleNeg,15758.7787099606,4231,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S85,DoubleNeg,15637.9031758963,4253,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S86,DoubleNeg,15168.1614776364,4623,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S87,DoubleNeg,16679.7532923612,5044,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S88,DoubleNeg,14219.5007954076,4120,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S89,DoubleNeg,14391.9347732473,3771,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S90,DoubleNeg,15263.8214553203,4280,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S91,DoubleNeg,12912.4658415414,3633,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S92,DoubleNeg,15224.9080354433,4312,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S93,DoubleNeg,16487.4970098209,4842,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S94,DoubleNeg,16387.5070427091,4586,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P14_S95,DoubleNeg,16309.9604012857,5107,DoubleNeg,P14,batch2,batch2,DoubleNeg
DoubleNeg_P3_S10,DoubleNeg,14522.0622591322,4047,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S12,DoubleNeg,11962.7977180277,3577,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S13,DoubleNeg,14866.6080247024,4496,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S14,DoubleNeg,14588.6527502048,4412,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S15,DoubleNeg,13254.9806071188,4122,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S16,DoubleNeg,14741.926382639,4028,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S17,DoubleNeg,14622.5263611915,4266,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S18,DoubleNeg,12848.2454548566,3582,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S19,DoubleNeg,14169.607697747,3820,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S1,DoubleNeg,14441.0217169089,3946,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S20,DoubleNeg,15558.6627157494,4533,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S21,DoubleNeg,14904.5146010842,4648,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S22,DoubleNeg,14400.4195146878,4205,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S23,DoubleNeg,14671.4438843916,4194,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S24,DoubleNeg,14674.0542213827,4247,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S2,DoubleNeg,13376.5656695899,3334,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S3,DoubleNeg,14682.0430954166,3848,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S4,DoubleNeg,14849.2582625186,3970,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S5,DoubleNeg,14919.0261802137,4161,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S7,DoubleNeg,14767.1860525589,3952,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S8,DoubleNeg,14432.0588655993,3886,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P3_S9,DoubleNeg,14743.7003672568,4132,DoubleNeg,P3,batch2,batch2,DoubleNeg
DoubleNeg_P4_S25,DoubleNeg,14122.4348177886,4121,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S26,DoubleNeg,14915.5456448589,4209,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S27,DoubleNeg,12174.0898654484,3449,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S28,DoubleNeg,16194.4185374327,4623,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S29,DoubleNeg,11380.2134023395,3195,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S30,DoubleNeg,13694.8091319363,3887,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S31,DoubleNeg,15024.1321265076,4235,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S32,DoubleNeg,14976.9057772036,4380,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S33,DoubleNeg,12459.2459797054,3429,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S34,DoubleNeg,15058.6059922185,4216,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S35,DoubleNeg,12575.4414796938,3510,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S36,DoubleNeg,12912.2016377789,3575,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S37,DoubleNeg,13574.8577348338,4177,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S38,DoubleNeg,14401.9383365362,4135,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S39,DoubleNeg,15009.4290008719,4628,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S40,DoubleNeg,14823.7636883419,4256,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S41,DoubleNeg,14264.4346167686,4108,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S42,DoubleNeg,13117.7238616375,3388,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S43,DoubleNeg,15140.3691943716,4675,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S44,DoubleNeg,13012.5394894256,4183,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S45,DoubleNeg,15000.3336561777,4397,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S46,DoubleNeg,14633.0337132543,4317,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S47,DoubleNeg,13117.3580213369,3580,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P4_S48,DoubleNeg,15532.4041529609,4782,DoubleNeg,P4,batch2,batch2,DoubleNeg
DoubleNeg_P7_S10,DoubleNeg,18867.2555569377,6562,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S11,DoubleNeg,18076.3996793729,7008,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S12,DoubleNeg,18723.0707417924,7088,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S13,DoubleNeg,18490.6650053022,5809,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S14,DoubleNeg,19653.8003992025,7624,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S15,DoubleNeg,19224.9752161072,6689,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S16,DoubleNeg,17635.6931642517,6434,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S17,DoubleNeg,21076.34318711,7785,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S18,DoubleNeg,18892.114648981,6705,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S19,DoubleNeg,18907.1896193339,6478,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S1,DoubleNeg,18243.927697541,5026,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S20,DoubleNeg,18098.9516845008,6476,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S21,DoubleNeg,18484.3149292531,6918,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S22,DoubleNeg,19105.8971833696,7912,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S23,DoubleNeg,17896.260579064,5923,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S24,DoubleNeg,10346.9926799682,6502,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S2,DoubleNeg,18909.9048213818,6756,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S3,DoubleNeg,19444.8408310327,6790,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S4,DoubleNeg,19284.616276148,7161,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S5,DoubleNeg,22709.8915399189,7893,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S6,DoubleNeg,18388.6747025318,6712,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S7,DoubleNeg,18592.0764617104,6362,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S8,DoubleNeg,17363.3963902433,6325,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P7_S9,DoubleNeg,18864.5897394578,7072,DoubleNeg,P7,batch1,batch1,DoubleNeg
DoubleNeg_P8_S25,DoubleNeg,17654.8028810915,5686,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S26,DoubleNeg,19208.795132201,6687,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S27,DoubleNeg,18390.3404086446,5729,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S28,DoubleNeg,17392.0871163371,5090,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S30,DoubleNeg,16980.5492409937,4791,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S31,DoubleNeg,15826.7671153055,4699,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S32,DoubleNeg,17325.8996042597,6044,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S33,DoubleNeg,17229.5060514199,4544,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S34,DoubleNeg,17008.2848881347,4710,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S35,DoubleNeg,17520.8721734965,4573,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S36,DoubleNeg,17481.5830781587,6167,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S37,DoubleNeg,19425.926239602,6380,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S38,DoubleNeg,18199.6088737177,6552,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S39,DoubleNeg,17203.4859403382,4391,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S40,DoubleNeg,17789.2380165107,5583,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S42,DoubleNeg,17242.5989987777,4499,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S43,DoubleNeg,16458.7113558217,6109,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S44,DoubleNeg,17190.7431001378,4989,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S45,DoubleNeg,17720.2228730896,5821,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S46,DoubleNeg,18099.7164044543,5379,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S47,DoubleNeg,18441.9380507134,5695,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P8_S48,DoubleNeg,17049.0454014214,6016,DoubleNeg,P8,batch1,batch1,DoubleNeg
DoubleNeg_P9_S49,DoubleNeg,16127.7131581208,5479,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S50,DoubleNeg,16136.8253341288,5205,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S51,DoubleNeg,15517.4882982857,5767,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S52,DoubleNeg,15628.1013042223,4722,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S54,DoubleNeg,14657.0703971598,4450,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S55,DoubleNeg,17628.5854186515,6189,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S56,DoubleNeg,16886.3358464852,5537,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S57,DoubleNeg,6995.35357375179,4576,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S58,DoubleNeg,15184.8703168261,4953,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S59,DoubleNeg,17745.9863606037,6373,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S60,DoubleNeg,15723.2232811425,5293,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S61,DoubleNeg,17104.3998778566,5170,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S63,DoubleNeg,16143.6492973106,5461,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S64,DoubleNeg,16902.1275640921,4565,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S65,DoubleNeg,14576.0699603663,4276,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S66,DoubleNeg,16333.9067594903,4988,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S67,DoubleNeg,16000.8280914453,5036,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S68,DoubleNeg,16745.7332935587,5640,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S69,DoubleNeg,15526.4636039322,4513,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S70,DoubleNeg,15900.8120253872,4535,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S71,DoubleNeg,15686.8514830601,5270,DoubleNeg,P9,batch1,batch1,DoubleNeg
DoubleNeg_P9_S72,DoubleNeg,14525.7514142476,4733,DoubleNeg,P9,batch1,batch1,DoubleNeg
CD1C_P10_S73,CD1C,16225.2835199883,5058,CD1C,P10,batch1,batch1,CD1C
CD1C_P10_S74,CD1C,16589.4517452605,5648,CD1C,P10,batch1,batch1,CD1C
